,idDrink,strDrink,Drink_ABV,image
49,12446,Veteran,44,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
50,12704,Limeade,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
51,12768,Frappé,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
52,13020,Sangria,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
53,13222,Big Red,8,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
54,17176,Ipamena,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
55,11003,Negroni,12,https://www.thecocktaildb.com/drink/11003
56,15933,Zambeer,40,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
57,17193,Stinger,18,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
58,17195,Bellini,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
59,17210,Bramble,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
60,17217,Vampiro,15,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
61,17228,Addison,18,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
62,17827,Old Pal,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
63,178349,Snowday,18,https://www.instagram.com/p/CLkmoNJFXUe/
64,17836,Acapulco,32,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
65,17840,Affinity,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
66,11046,Applecar,10,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
67,11060,Balmoral,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
68,11120,Bluebird,19,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
69,11006,Daiquiri,19,https://commons.wikimedia.org/wiki/File:Classic_Daiquiri_in_Cocktail_Glass.jpg
70,11410,Gin Fizz,17,https://commons.wikimedia.org/wiki/File:15-09-26-RalfR-WLC-0032.jpg
71,11417,Gin Sour,22,https://pixabay.com/photos/gin-and-tonic-gin-sour-cocktail-4499713/
72,11422,Godchild,23,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
73,11600,Kamikaze,24,https://commons.wikimedia.org/wiki/File:Kamikaze-cocktail.jpg
74,11936,Pink Gin,26,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
75,12093,Rum Sour,28,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
76,12388,Thriller,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
77,13539,Ice Pick,8,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
78,13581,410 Gone,42,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
79,14195,Snowball,17,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
80,17180,Aviation,25,https://www.flickr.com/photos/mstyne/27859363080/in/dateposted/
81,15409,Danbooka,21,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
82,16985,Shot-gun,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
83,17105,501 Blue,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
84,17190,Paradise,30,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
85,178310,Brooklyn,20,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
86,178322,Spice 75,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
87,11014,Alexander,12,https://www.pxfuel.com/en/free-photo-expqp
88,11020,Algonquin,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
89,11021,Allegheny,30,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
90,11055,Artillery,24,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
91,11124,Boomerang,18,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
92,11320,Dragonfly,37,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
93,11375,Foxy Lady,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
94,11408,Gin Daisy,20,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
95,11415,Gin Sling,17,https://www.thecocktaildb.com/drink/11415
96,11416,Gin Smash,21,https://commons.wikimedia.org/wiki/File:Gin_Basil_Smash.jpg
97,11420,Gin Toddy,27,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
98,11423,Godfather,20,https://www.thecocktaildb.com/drink/11423-Godfather
99,11424,Godmother,31,https://www.thecocktaildb.com/drink/11424-Godmother
100,11938,Pink Lady,30,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
101,11987,Queen Bee,23,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
102,12097,Rum Toddy,35,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
103,12107,Salty Dog,7,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
104,12436,Van Vleet,28,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
105,12560,Afterglow,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
106,12572,Bora Bora,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
107,12618,Orangeade,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
108,12668,Egg Cream,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
109,12756,Autodafé,35,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
110,12758,Gagliardo,24,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
111,12856,Tia-Maria,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
112,12944,Gluehwein,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
113,11007,Margarita,28,https://commons.wikimedia.org/wiki/File:Klassiche_Margarita.jpg
114,13162,Afternoon,5,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
115,11008,Manhattan,25,https://commons.wikimedia.org/wiki/File:Oak_Fired_Manhattan_-_Stierch_1.jpg
116,14378,Lunch Box,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
117,14978,Rum Punch,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
118,15182,After sex,28,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
119,17209,Barracuda,24,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
120,15941,Americano,0,https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg
121,16178,Jitterbug,23,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
122,16311,Applejack,18,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
123,16333,Adam Bomb,5,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
124,16419,Avalanche,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
125,16963,Zorbatini,40,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
126,16991,Downshift,18,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
127,17178,Jam Donut,23,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
128,17035,Buccaneer,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
129,17197,French 75,7,https://pixabay.com/de/photos/champagner-cocktail-french-75-5374793/
130,17227,Addington,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
131,17249,Pegu Club,5,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
132,17252,Greyhound,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
133,17825,Brigadier,22,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
134,17828,Tipperary,44,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
135,178311,Broadside,15,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
136,178316,Honey Bee,28,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
137,178318,747 Drink,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
138,178343,Michelada,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
139,178345,Hot Toddy,0,https://www.flickr.com/photos/patruby/7343589018
140,178350,The Galah,11,https://www.instagram.com/p/CLFp5hqlYZC/
141,11024,Almond Joy,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
142,11034,Angel Face,41,https://commons.wikimedia.org/wiki/File:IBA_Cocktail_Angel_Face_(28068833805).jpg
143,11052,Archbishop,25,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
144,11106,Blackthorn,37,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
145,11202,Caipirinha,0,https://www.thecocktaildb.com/drink/11202-Caipirinha
146,11239,Cherry Rum,34,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
147,11288,Cuba Libre,23,https://commons.wikimedia.org/wiki/File:Cuba_Libre.jpg
148,11407,Gin Cooler,37,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
149,11418,Gin Squirt,25,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
150,12055,Royal Fizz,12,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
151,12071,Rum Cooler,15,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
152,12101,Rusty Nail,22,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
153,12308,Stone Sour,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
154,12518,Whisky Mac,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
155,12752,Lemon Shot,17,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
156,12910,Egg Nog #4,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
157,13058,Wine Punch,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
158,13196,Long vodka,11,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
159,13198,Quick F**K,26,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
160,13214,Pisco Sour,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
161,13377,Sea breeze,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
162,13395,Bob Marley,27,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
163,13751,Cuba Libra,47,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
164,13775,Jelly Bean,21,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
165,13807,After Five,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
166,13837,Kir Royale,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
167,13847,Jackhammer,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
168,13899,3 Wise Men,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
169,13936,Miami Vice,47,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
170,13940,69 Special,6,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
171,14181,Cafe Savoy,15,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
172,14366,Lemon Drop,33,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
173,14456,Kurant Tea,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
174,14538,Bumble Bee,24,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
175,14608,Cream Soda,47,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
176,14730,Bubble Gum,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
177,14752,Kiwi Lemon,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
178,15006,Turkeyball,20,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
179,15254,Zenmeister,17,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
180,15427,Grand Blue,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
181,15761,Quick-sand,40,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
182,16041,Mudslinger,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
183,16196,Moranguito,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
184,16250,Rum Runner,10,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
185,16942,Zipperhead,29,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
186,16967,Vodka Fizz,14,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
187,16986,Bible Belt,21,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
188,17120,Brain Fart,19,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
189,17192,Porto flip,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
190,17194,White Lady,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
191,17206,Mint Julep,54,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
192,17226,Adam & Eve,3,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
193,17230,Gin Rickey,17,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
194,17256,Martinez 2,16,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
195,17829,Penicillin,1,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
196,17830,Corn n Oil,17,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
197,178319,Aquamarine,9,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
198,11113,Bloody Mary,12,https://www.thecocktaildb.com/drink/11113-Bloody-Mary
199,11117,Blue Lagoon,21,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
200,11129,Boston Sour,0,https://www.rokaakor.com/wp-content/uploads/2018/10/Top-5-Cocktail-Trends.jpg
