idDrink,strDrink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,Drink_ABV
14095,Jamaica Kiss,Coffee liqueur,Light rum,Ice,Milk,,,,,,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
14466,Dirty Nipple,Kahlua,Sambuca,Baileys irish cream,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14860,Talos Coffee,Grand Marnier,Coffee,,,,,,,,,,,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
15330,Orange Crush,Vodka,Triple sec,Orange juice,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
15515,Tennesee Mud,Coffee,Jack Daniels,Amaretto,Whipped cream,,,,,,,,,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
15567,Adam Sunrise,Vodka,Lemonade,Water,Sugar,,,,,,,,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15813,Herbal flame,Hot Damn,Tea,,,,,,,,,,,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15841,Mojito Extra,Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,,,,2.0,1.014,270.4,270.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
16047,Campari Beer,Lager,Campari,,,,,,,,,,,12.0,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16273,Shark Attack,Lemonade,Water,Vodka,,,,,,,,,,12.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
16289,Apple Grande,Tequila,Apple cider,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
16951,Kioki Coffee,Kahlua,Brandy,Coffee,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
16992,Pink Penocha,Everclear,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,0.0,0.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17027,Zima Blaster,Zima,Chambord raspberry liqueur,,,,,,,,,,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
17066,Army special,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,0.0,0.0,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17114,Ruby Tuesday,Gin,Cranberry juice,Grenadine,,,,,,,,,,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
17189,Monkey Gland,Gin,Benedictine,Orange juice,Grenadine,,,,,,,,,2.0,0.167,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
17196,Cosmopolitan,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,,,1.25,4.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
17199,Golden dream,Galliano,Triple Sec,orange juice,Cream,,,,,,,,,3.0,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
17202,Horse's Neck,Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,,,0.0,2.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
17251,Boulevardier,Campari,Sweet Vermouth,Rye whiskey,Orange Peel,,,,,,,,,1.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
178312,Bloody Punch,Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,,,0.0,24.0,16.0,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0
178338,Pure Passion,Rum,Passoa,Lime Juice,Passion fruit syrup,Peach Bitters,Mint,,,,,,,0.0,0.0,0.0,0.16899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
178342,Gin and Soda,Gin,Soda Water,Lime,,,,,,,,,,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11026,Amaretto Mist,Amaretto,Lime,,,,,,,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
11027,Amaretto Rose,Amaretto,Lime juice,Club soda,,,,,,,,,,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
11053,Arise My Love,Champagne,Green Creme de Menthe,,,,,,,,,,,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
11102,Black Russian,Coffee liqueur,Vodka,,,,,,,,,,,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11001,Old Fashioned,Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,1.6900000000000002,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
11119,Blue Mountain,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,1.5,2.0,2.0,1.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
11146,Bourbon Sling,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,,,0.167,0.334,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
11224,Casino Royale,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,2.0,2.0,0.167,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
11403,Gin And Tonic,Gin,Tonic water,Lime,,,,,,,,,,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11524,Imperial Fizz,Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,,,2.0,1.5,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
11558,Japanese Fizz,Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,,,,1.5,2.0,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
11670,Lord And Lady,Dark rum,Tia maria,,,,,,,,,,,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
11798,Monkey Wrench,Light rum,Grapefruit juice,Bitters,,,,,,,,,,1.5,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
11844,New York Sour,Blended whiskey,Lemon,Sugar,Red wine,Lemon,Cherry,,,,,,,2.0,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
12188,Sherry Eggnog,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12418,Turf Cocktail,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,,,,1.0,1.0,0.668,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
12528,White Russian,Vodka,Coffee liqueur,Light cream,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
12630,Rail Splitter,Sugar syrup,Lemon juice,Ginger ale,,,,,,,,,,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12696,Lassi - Sweet,Yoghurt,Water,Sugar,Salt,Lemon juice,,,,,,,,8.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12698,Lassi - Mango,Mango,Yoghurt,Sugar,Water,,,,,,,,,0.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12724,Sweet Bananas,Milk,Banana,Honey,,,,,,,,,,16.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12766,Happy Skipper,Spiced rum,Ginger ale,Lime,Ice,,,,,,,,,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
12786,Thai Iced Tea,Tea,Water,Condensed milk,Ice,Mint,,,,,,,,32.0,16.0,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13024,Sweet Sangria,Red wine,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,,,,24.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13072,Popped cherry,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
13086,Atomic Lokade,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
13190,Kool-Aid Shot,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,,,,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
13499,Oreo Mudslide,Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
13683,Apple Slammer,7-Up,Apple schnapps,,,,,,,,,,,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13731,Amaretto Sour,Amaretto,Sour mix,,,,,,,,,,,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
13825,Midnight Manx,Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,,,,,,,,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
14053,Mother's Milk,Goldschlager,Butterscotch schnapps,Milk,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
14167,Vodka Martini,Vodka,Dry Vermouth,Olive,,,,,,,,,,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
14356,Blind Russian,Baileys irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,,,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
